disease_index,disease_name,t,arrivals
1,"Symptoms, signs, and abnormal clinical and laboratory findings",1,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",2,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",3,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",4,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",5,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",6,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",7,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",8,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",9,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",10,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",11,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",12,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",13,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",14,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",15,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",16,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",17,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",18,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",19,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",20,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",21,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",22,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",23,1
1,"Symptoms, signs, and abnormal clinical and laboratory findings",24,1
2,Injury and poisoning,1,1
2,Injury and poisoning,2,1
2,Injury and poisoning,3,1
2,Injury and poisoning,4,1
2,Injury and poisoning,5,1
2,Injury and poisoning,6,1
2,Injury and poisoning,7,1
2,Injury and poisoning,8,1
2,Injury and poisoning,9,1
2,Injury and poisoning,10,1
2,Injury and poisoning,11,1
2,Injury and poisoning,12,1
2,Injury and poisoning,13,1
2,Injury and poisoning,14,1
2,Injury and poisoning,15,1
2,Injury and poisoning,16,1
2,Injury and poisoning,17,1
2,Injury and poisoning,18,1
2,Injury and poisoning,19,1
2,Injury and poisoning,20,1
2,Injury and poisoning,21,1
2,Injury and poisoning,22,1
2,Injury and poisoning,23,1
2,Injury and poisoning,24,1
3,Diseases of the respiratory system,1,1
3,Diseases of the respiratory system,2,1
3,Diseases of the respiratory system,3,1
3,Diseases of the respiratory system,4,1
3,Diseases of the respiratory system,5,1
3,Diseases of the respiratory system,6,1
3,Diseases of the respiratory system,7,1
3,Diseases of the respiratory system,8,1
3,Diseases of the respiratory system,9,1
3,Diseases of the respiratory system,10,1
3,Diseases of the respiratory system,11,1
3,Diseases of the respiratory system,12,1
3,Diseases of the respiratory system,13,1
3,Diseases of the respiratory system,14,1
3,Diseases of the respiratory system,15,1
3,Diseases of the respiratory system,16,1
3,Diseases of the respiratory system,17,1
3,Diseases of the respiratory system,18,1
3,Diseases of the respiratory system,19,1
3,Diseases of the respiratory system,20,1
3,Diseases of the respiratory system,21,1
3,Diseases of the respiratory system,22,1
3,Diseases of the respiratory system,23,1
3,Diseases of the respiratory system,24,1
4,Diseases of the musculoskeletal system and connective tissue,1,1
4,Diseases of the musculoskeletal system and connective tissue,2,1
4,Diseases of the musculoskeletal system and connective tissue,3,1
4,Diseases of the musculoskeletal system and connective tissue,4,1
4,Diseases of the musculoskeletal system and connective tissue,5,1
4,Diseases of the musculoskeletal system and connective tissue,6,1
4,Diseases of the musculoskeletal system and connective tissue,7,1
4,Diseases of the musculoskeletal system and connective tissue,8,1
4,Diseases of the musculoskeletal system and connective tissue,9,1
4,Diseases of the musculoskeletal system and connective tissue,10,1
4,Diseases of the musculoskeletal system and connective tissue,11,1
4,Diseases of the musculoskeletal system and connective tissue,12,1
4,Diseases of the musculoskeletal system and connective tissue,13,1
4,Diseases of the musculoskeletal system and connective tissue,14,1
4,Diseases of the musculoskeletal system and connective tissue,15,1
4,Diseases of the musculoskeletal system and connective tissue,16,1
4,Diseases of the musculoskeletal system and connective tissue,17,1
4,Diseases of the musculoskeletal system and connective tissue,18,1
4,Diseases of the musculoskeletal system and connective tissue,19,1
4,Diseases of the musculoskeletal system and connective tissue,20,1
4,Diseases of the musculoskeletal system and connective tissue,21,1
4,Diseases of the musculoskeletal system and connective tissue,22,1
4,Diseases of the musculoskeletal system and connective tissue,23,1
4,Diseases of the musculoskeletal system and connective tissue,24,1
5,Diseases of the digestive system,1,1
5,Diseases of the digestive system,2,1
5,Diseases of the digestive system,3,1
5,Diseases of the digestive system,4,1
5,Diseases of the digestive system,5,1
5,Diseases of the digestive system,6,1
5,Diseases of the digestive system,7,1
5,Diseases of the digestive system,8,1
5,Diseases of the digestive system,9,1
5,Diseases of the digestive system,10,1
5,Diseases of the digestive system,11,1
5,Diseases of the digestive system,12,1
5,Diseases of the digestive system,13,1
5,Diseases of the digestive system,14,1
5,Diseases of the digestive system,15,1
5,Diseases of the digestive system,16,1
5,Diseases of the digestive system,17,1
5,Diseases of the digestive system,18,1
5,Diseases of the digestive system,19,1
5,Diseases of the digestive system,20,1
5,Diseases of the digestive system,21,1
5,Diseases of the digestive system,22,1
5,Diseases of the digestive system,23,1
5,Diseases of the digestive system,24,1
6,Diseases of the genitourinary system,1,1
6,Diseases of the genitourinary system,2,1
6,Diseases of the genitourinary system,3,1
6,Diseases of the genitourinary system,4,1
6,Diseases of the genitourinary system,5,1
