disease_index,disease_name,t,arrivals
1,"Symptoms, signs, and abnormal clinical and laboratory findings",1,12
1,"Symptoms, signs, and abnormal clinical and laboratory findings",2,12
1,"Symptoms, signs, and abnormal clinical and laboratory findings",3,18
1,"Symptoms, signs, and abnormal clinical and laboratory findings",4,6
1,"Symptoms, signs, and abnormal clinical and laboratory findings",5,6
1,"Symptoms, signs, and abnormal clinical and laboratory findings",6,12
1,"Symptoms, signs, and abnormal clinical and laboratory findings",7,18
1,"Symptoms, signs, and abnormal clinical and laboratory findings",8,30
1,"Symptoms, signs, and abnormal clinical and laboratory findings",9,30
1,"Symptoms, signs, and abnormal clinical and laboratory findings",10,42
1,"Symptoms, signs, and abnormal clinical and laboratory findings",11,30
1,"Symptoms, signs, and abnormal clinical and laboratory findings",12,30
1,"Symptoms, signs, and abnormal clinical and laboratory findings",13,48
1,"Symptoms, signs, and abnormal clinical and laboratory findings",14,36
1,"Symptoms, signs, and abnormal clinical and laboratory findings",15,42
1,"Symptoms, signs, and abnormal clinical and laboratory findings",16,36
1,"Symptoms, signs, and abnormal clinical and laboratory findings",17,36
1,"Symptoms, signs, and abnormal clinical and laboratory findings",18,30
1,"Symptoms, signs, and abnormal clinical and laboratory findings",19,24
1,"Symptoms, signs, and abnormal clinical and laboratory findings",20,24
1,"Symptoms, signs, and abnormal clinical and laboratory findings",21,24
1,"Symptoms, signs, and abnormal clinical and laboratory findings",22,18
1,"Symptoms, signs, and abnormal clinical and laboratory findings",23,18
1,"Symptoms, signs, and abnormal clinical and laboratory findings",24,18
2,Injury and poisoning,1,12
2,Injury and poisoning,2,12
2,Injury and poisoning,3,18
2,Injury and poisoning,4,6
2,Injury and poisoning,5,6
2,Injury and poisoning,6,12
2,Injury and poisoning,7,18
2,Injury and poisoning,8,30
2,Injury and poisoning,9,30
2,Injury and poisoning,10,42
2,Injury and poisoning,11,30
2,Injury and poisoning,12,30
2,Injury and poisoning,13,48
2,Injury and poisoning,14,36
2,Injury and poisoning,15,42
2,Injury and poisoning,16,36
2,Injury and poisoning,17,36
2,Injury and poisoning,18,30
2,Injury and poisoning,19,24
2,Injury and poisoning,20,24
2,Injury and poisoning,21,24
2,Injury and poisoning,22,18
2,Injury and poisoning,23,18
2,Injury and poisoning,24,18
3,Diseases of the respiratory system,1,12
3,Diseases of the respiratory system,2,12
3,Diseases of the respiratory system,3,18
3,Diseases of the respiratory system,4,6
3,Diseases of the respiratory system,5,6
3,Diseases of the respiratory system,6,12
3,Diseases of the respiratory system,7,18
3,Diseases of the respiratory system,8,30
3,Diseases of the respiratory system,9,30
3,Diseases of the respiratory system,10,42
3,Diseases of the respiratory system,11,30
3,Diseases of the respiratory system,12,30
3,Diseases of the respiratory system,13,48
3,Diseases of the respiratory system,14,36
3,Diseases of the respiratory system,15,42
3,Diseases of the respiratory system,16,36
3,Diseases of the respiratory system,17,36
3,Diseases of the respiratory system,18,30
3,Diseases of the respiratory system,19,24
3,Diseases of the respiratory system,20,24
3,Diseases of the respiratory system,21,24
3,Diseases of the respiratory system,22,18
3,Diseases of the respiratory system,23,18
3,Diseases of the respiratory system,24,18
4,Diseases of the musculoskeletal system and connective tissue,1,12
4,Diseases of the musculoskeletal system and connective tissue,2,12
4,Diseases of the musculoskeletal system and connective tissue,3,18
4,Diseases of the musculoskeletal system and connective tissue,4,6
4,Diseases of the musculoskeletal system and connective tissue,5,6
4,Diseases of the musculoskeletal system and connective tissue,6,12
4,Diseases of the musculoskeletal system and connective tissue,7,18
4,Diseases of the musculoskeletal system and connective tissue,8,30
4,Diseases of the musculoskeletal system and connective tissue,9,30
4,Diseases of the musculoskeletal system and connective tissue,10,42
4,Diseases of the musculoskeletal system and connective tissue,11,30
4,Diseases of the musculoskeletal system and connective tissue,12,30
4,Diseases of the musculoskeletal system and connective tissue,13,48
4,Diseases of the musculoskeletal system and connective tissue,14,36
4,Diseases of the musculoskeletal system and connective tissue,15,42
4,Diseases of the musculoskeletal system and connective tissue,16,36
4,Diseases of the musculoskeletal system and connective tissue,17,36
4,Diseases of the musculoskeletal system and connective tissue,18,30
4,Diseases of the musculoskeletal system and connective tissue,19,24
4,Diseases of the musculoskeletal system and connective tissue,20,24
4,Diseases of the musculoskeletal system and connective tissue,21,24
4,Diseases of the musculoskeletal system and connective tissue,22,18
4,Diseases of the musculoskeletal system and connective tissue,23,18
4,Diseases of the musculoskeletal system and connective tissue,24,18
5,Diseases of the digestive system,1,12
5,Diseases of the digestive system,2,12
5,Diseases of the digestive system,3,18
5,Diseases of the digestive system,4,6
5,Diseases of the digestive system,5,6
5,Diseases of the digestive system,6,12
5,Diseases of the digestive system,7,18
5,Diseases of the digestive system,8,30
5,Diseases of the digestive system,9,30
5,Diseases of the digestive system,10,42
5,Diseases of the digestive system,11,30
5,Diseases of the digestive system,12,30
5,Diseases of the digestive system,13,48
5,Diseases of the digestive system,14,36
