Measure,Prevalence,Error
All reasons,100.0,6.628571428571428
"1. Symptoms, signs, and abnormal clinical and laboratory findings",24.903596768273257,7.3428571428571425
2. Injury and poisoning,17.84337096689618,7.171428571428572
3. Diseases of the respiratory system,9.561163615242199,9.328571428571427
"1. Stomach and abdominal pain, cramps and spasms",8.62092958530476,7.985714285714286
4. Diseases of the musculoskeletal system and connective tissue,7.316763271578795,8.6
5. Diseases of the digestive system,5.8772694087134,7.957142857142857
2. Chest pain and related symptoms (not referable to body systems),5.302379425372202,8.942857142857143
6. Diseases of the genitourinary system,5.201841745422864,8.528571428571428
"7. Mental, behavioral, and neurodevelopmental disorders",3.9262132084528294,8.9
5. Fever,3.9111880185707313,12.142857142857142
3. Cough,3.613608586744758,11.6
8. Diseases of the circulatory system,3.603827087291312,9.471428571428572
10. Diseases of the skin and subcutaneous tissue,3.276701476703897,8.828571428571427
4. Shortness of breath,3.2674241782532056,10.271428571428572
9. Certain infectious and parasitic diseases,2.7312568319235875,10.271428571428572
"6. Headache, pain in head",2.648366187070673,9.4
"7. Pain, site not referable to a specific body system",2.296837247949919,10.12857142857143
8. Back symptoms,2.2268541487675315,11.028571428571428
9. Vomiting,1.908904996430257,11.028571428571428
10. Other symptoms/problems related to psychological and mental disorders,1.6493423202120066,11.342857142857143
